"athlete_id_1","player_name","attempts_Late_Tight","makes_Late_Tight","attempts_Baseline","makes_Baseline","pct_Late_Tight","pct_Baseline","delta_pp","label"
7,"Mwadi Mabika",46,18,767,346,0.391304347826087,0.451108213820078,-5.98038659939912,"Anti-clutch"
576,"Agnieszka Bibrzycka",21,9,341,167,0.428571428571429,0.489736070381232,-6.11646418098031,"Anti-clutch"
4066585,"Crystal Dangerfield",73,30,1275,602,0.410958904109589,0.472156862745098,-6.1197958635509,"Anti-clutch"
673,"La'Tangela Atkinson",10,4,221,102,0.4,0.461538461538462,-6.15384615384615,"Anti-clutch"
4420318,"Ezi Magbegor",60,30,1997,1129,0.5,0.56534802203305,-6.53480220330496,"Anti-clutch"
3913881,"Alanna Smith",42,18,1536,759,0.428571428571429,0.494140625,-6.55691964285715,"Anti-clutch"
558,"Christi Thomas",16,7,563,284,0.4375,0.504440497335702,-6.69404973357016,"Anti-clutch"
2529567,"Robyn Parks",3,1,154,62,0.333333333333333,0.402597402597403,-6.92640692640693,"Anti-clutch"
108,"Kiesha Brown",30,12,652,306,0.4,0.469325153374233,-6.93251533742331,"Anti-clutch"
308,"Astou Ndiaye-Diatta",8,3,45,20,0.375,0.444444444444444,-6.94444444444444,"Anti-clutch"
3058900,"Stephanie Mavunga",2,1,158,90,0.5,0.569620253164557,-6.9620253164557,"Anti-clutch"
3907789,"Te'a Cooper",12,5,479,233,0.416666666666667,0.48643006263048,-6.97633959638135,"Anti-clutch"
2490528,"Tierra Ruffin-Pratt",109,44,1960,929,0.403669724770642,0.473979591836735,-7.03098670660925,"Anti-clutch"
4433730,"Paige Bueckers",54,27,648,370,0.5,0.570987654320988,-7.09876543209876,"Anti-clutch"
4433468,"Nika Muhl",0,0,14,1,0,0.0714285714285714,-7.14285714285714,"Anti-clutch"
4596309,"Liatu King",2,1,40,23,0.5,0.575,-7.5,"Anti-clutch"
1048,"Aneika Henry-Morello",25,12,709,395,0.48,0.557122708039492,-7.71227080394923,"Anti-clutch"
5017726,"Jade Melbourne",22,9,584,285,0.409090909090909,0.488013698630137,-7.89227895392279,"Anti-clutch"
660,"Mistie McCray Bass",61,28,1450,782,0.459016393442623,0.539310344827586,-8.02939513849633,"Anti-clutch"
1017,"Liz Cambage",147,78,2751,1687,0.530612244897959,0.61323155216285,-8.26193072648906,"Anti-clutch"
5208982,"Carla Leite",9,4,320,169,0.444444444444444,0.528125,-8.36805555555555,"Anti-clutch"
2984245,"Alexis Jones",3,1,320,134,0.333333333333333,0.41875,-8.54166666666667,"Anti-clutch"
3142328,"Gabby Williams",83,33,1798,879,0.397590361445783,0.488876529477197,-9.12861680314138,"Anti-clutch"
442,"Brooke Wyckoff",10,3,315,124,0.3,0.393650793650794,-9.36507936507937,"Anti-clutch"
1013,"Jantel Lavender",98,44,2912,1581,0.448979591836735,0.542925824175824,-9.39462323390894,"Anti-clutch"
4432834,"Laeticia Amihere",5,2,310,155,0.4,0.5,-10,"Anti-clutch"
4595150,"Camryn Taylor",0,0,10,1,0,0.1,-10,"Anti-clutch"
864,"Quanitra Hollingsworth",9,4,552,302,0.444444444444444,0.547101449275362,-10.2657004830918,"Anti-clutch"
599,"Wendy Palmer",7,3,249,133,0.428571428571429,0.534136546184739,-10.556511761331,"Anti-clutch"
2529196,"Shoni Schimmel",49,16,595,258,0.326530612244898,0.433613445378151,-10.7082833133253,"Anti-clutch"
3916514,"Kalani Brown",23,12,801,505,0.521739130434783,0.630461922596754,-10.8722792161971,"Anti-clutch"
541,"Jennifer Derevjanik",5,2,151,77,0.4,0.509933774834437,-10.9933774834437,"Anti-clutch"
6,"Lisa Leslie",111,48,1904,1033,0.432432432432432,0.542542016806723,-11.010958437429,"Anti-clutch"
871,"Shalee Lehning",19,7,307,147,0.368421052631579,0.478827361563518,-11.0406308931939,"Anti-clutch"
3142086,"Brianna Turner",44,21,928,548,0.477272727272727,0.59051724137931,-11.3244514106583,"Anti-clutch"
850,"Chante  Black",13,5,424,212,0.384615384615385,0.5,-11.5384615384615,"Anti-clutch"
4432830,"Jordan Horston",14,5,592,283,0.357142857142857,0.478040540540541,-12.0897683397683,"Anti-clutch"
832,"Olayinka Sanni",7,3,282,155,0.428571428571429,0.549645390070922,-12.1073961499493,"Anti-clutch"
19,"Crystal Robinson",9,3,220,100,0.333333333333333,0.454545454545455,-12.1212121212121,"Anti-clutch"
230,"Shannon Johnson",77,29,1024,510,0.376623376623377,0.498046875,-12.1423498376623,"Anti-clutch"
3143510,"Morgan Bertsch",3,1,158,72,0.333333333333333,0.455696202531646,-12.2362869198312,"Anti-clutch"
3888042,"Ana Dabovic",15,6,335,175,0.4,0.522388059701492,-12.2388059701492,"Anti-clutch"
2203512,"Carla Cortijo",3,1,171,78,0.333333333333333,0.456140350877193,-12.280701754386,"Anti-clutch"
1064,"Farhiya Abdi",10,3,177,75,0.3,0.423728813559322,-12.3728813559322,"Anti-clutch"
17,"Bernadette Ngoyisa",14,6,413,229,0.428571428571429,0.554479418886199,-12.590799031477,"Anti-clutch"
3054590,"Nia Coffey",45,14,1451,635,0.311111111111111,0.43762922122674,-12.6518110115629,"Anti-clutch"
2998929,"Morgan Tuck",30,10,711,327,0.333333333333333,0.459915611814346,-12.6582278481013,"Anti-clutch"
411,"Kamila Vodichkova",13,5,303,156,0.384615384615385,0.514851485148515,-13.023610053313,"Anti-clutch"
4398938,"Dorka Juhasz",19,7,424,212,0.368421052631579,0.5,-13.1578947368421,"Anti-clutch"
2999142,"Jennie Simms",3,1,157,73,0.333333333333333,0.464968152866242,-13.1634819532909,"Anti-clutch"
3151645,"Marie Gulich",3,1,193,90,0.333333333333333,0.466321243523316,-13.2987910189983,"Anti-clutch"
2567703,"Whitney Knight",0,0,15,2,0,0.133333333333333,-13.3333333333333,"Anti-clutch"
264,"Stacey Lovelace",12,4,390,183,0.333333333333333,0.469230769230769,-13.5897435897436,"Anti-clutch"
4597509,"Aaliyah Nye",8,2,183,71,0.25,0.387978142076503,-13.7978142076503,"Anti-clutch"
1051,"Lynetta Kizer",30,12,1163,626,0.4,0.538263112639725,-13.8263112639725,"Anti-clutch"
5209660,"Sevgi Uzun",8,2,326,128,0.25,0.392638036809816,-14.2638036809816,"Anti-clutch"
2590096,"Brittany Hrynko",0,0,7,1,0,0.142857142857143,-14.2857142857143,"Anti-clutch"
